winner,moves
white,d4 Nf6 Bf4 g6 e3 Bg7 Nf3 O-O Be2 d6 O-O Nh5 Bg5 h6 Bh4 c5 c3 Bf5 dxc5 dxc5 Qxd8 Rxd8 Bxe7 Rd5 Bc4 Rd7 Bxc5 Rc7 b4 Nd7 Nd4 Nxc5 Nxf5 gxf5 bxc5 Rxc5 Be2 Nf6 Bf3 Ne4 Bxe4 fxe4 Nd2 Re8 Rab1 b6 Rb4 Bxc3 Rxe4 Rxe4 Nxe4 Rc4 Rc1 Rxe4 Rxc3 Ra4 Rc2 Kf8 Kf1 Ke7 Ke2 Kd6 Kd2 Kd5 f3 Rc4 Rxc4 Kxc4 e4 Kd4 g3 a5 a4 Kc4 f4 Kb4 e5 Kxa4 f5 Kb3 e6 fxe6 fxe6 a4 e7 a3 e8=Q a2 Qe6+ Kb2 Qe5+ Kb1 Qe4+ Kb2 Qd4+ Kb1 Qxb6+ Ka1 Qf6+ Kb1 Qf5+ Ka1 Qe5+ Kb1 Qe4+ Ka1 Qd4+ Kb1 Qd3+ Ka1 Qc3+ Kb1 Qc2+ Ka1 Qc1#
draw,e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nc3 Nc6 d5 Ne5 b3 e6 dxe6 Qxd1+ Nxd1 Bxe6 Nc3 c6 Be2 Bc5 Nf3 Nbd7 O-O Nxf3+ Bxf3 Ne5 Be4 O-O-O Bf4 Ng6 Bxg6 hxg6 Ne4 Be7 Rfd1 f5 Rxd8+ Rxd8 Ng5 Bxg5 Bxg5 Re8 Kf1 Kc7 Rd1 Bf7
draw,e4 d5 e5 c5 f4 h5 Nf3 Bf5 Nc3 e6 a3 d4 Ne2 Nh6 Ng3 Nc6 Bc4 a6 d3 b5 Ba2 Bg4 O-O Qc7 Ne4 Bxf3 Qxf3 Nf5 g4 hxg4 Qxg4 Rh4 Qg2 Be7 Rf3 O-O-O Rh3 Rdh8 Rxh4 Rxh4 Ng5 Bxg5 Qxg5 Nce7 Bd2 Qc6 Rf1 Ng6 Qg2 Qxg2+ Kxg2 Rg4+ Kf3 Rh4 Kg2 Rg4+
white,e4 g6 d4 Bg7 Nc3 d6 f4 Nf6 Nf3 O-O e5 dxe5 fxe5 Nd5 Bc4 e6 O-O c6 Bg5 Qd7 Ne4 b5 Bxd5 exd5 Nf6+ Bxf6 Bxf6 Qg4 Qd2 Qh5 Ng5 h6 Nh3 Nd7 Nf4 Qg4 Nxd5
white,b3 d6 Bb2 Bf5 d3 Nd7 e4 Bg6 f4 f5 g4 fxg4 f5 Bf7 Qxg4 Ngf6 Qg2 c5 Nf3 Qb6 Nc3 c4 Na4 Qe3+ Qe2 Qxe2+ Bxe2 cxd3 cxd3 Rc8 Rc1 Rxc1+ Bxc1 e6 fxe6 Bxe6 Nd4 Bh3 Ba3 Be7 Nb5 O-O Nxa7 Ng4 Bxg4 Bh4+ Kd2 Bxg4 Bxd6 Rf2+ Kc3 Bf6+ Kb4 Rxa2 Nb5 Rd2 e5 Nxe5 Bxe5 Bxe5 Nc5 Bxh2 Kc3 Ra2 Nd4 Be5 Rg1 h5 Nxb7 Ra7 Nc5 Rc7 Kc4 Kf7 b4 g5 Rf1+ Ke7 Re1 Kd6 Nb5+
white,f4 Nc6 Nf3 Nf6 b3 g6 Bb2 Bg7 e3 O-O Be2 d6 O-O Re8 c4 e5 fxe5 Nxe5 Nc3 Bf5 Nxe5 dxe5 d3 c6 e4 Qb6+ Kh1 Bd7 Qd2 Ng4 Bxg4 Bxg4 h3 Bd7 Rf3 f5 exf5 Bxf5 Raf1 Rad8 Qe2 Bxd3 Rxd3 Rxd3 Qxd3
black,e4 Nc6 d4 e5 d5 Nce7 c4 Ng6 Nc3 Nf6 f3 Bc5 Qe2 a6 Be3 Ba7 Bxa7 Rxa7 Qe3 Ra8 Nh3 d6 Be2 Bxh3 gxh3 Nh5 Qf2 Nhf4 Qg3 Nh4 Qxg7 Rf8 Qxh7 Qg5 O-O-O Nxe2+ Kc2 Nxc3 bxc3 Nxf3 Qf5 Qxf5 exf5 Nh4 Rdf1 Kd7 Kd3 Rg8 Rhg1 b6 Ke4 f6 Rg4 Rxg4+ hxg4 Rg8 h3 c6 Rg1 cxd5+ cxd5 Rc8 Rg3 Rc4+ Kd3 Rf4 Ke2 b5 Rd3 Kc7 Rg3 Kb6 Rd3 Kc5 Re3 Kxd5 Kd3 Ra4 Re2 e4+ Ke3 Ke5 Rc2 d5 Rd2 Ra3 Rc2 d4+
draw,e4 d5 exd5 Nf6 Nc3 Nxd5 Nxd5 Qxd5 Qf3 Qxf3 Nxf3 Nc6 Bc4 Bf5 d3 e6 O-O O-O-O h3 Bd6 a3 h6 b4 g5 Be3 Kb8 Nh2 Bg6 Rad1 Bxh2+ Kxh2 Ne5 Bb3 Rhe8 f4 gxf4 Bxf4 Nc6 Bxh6 Nd4 Bg5 Rd7 g4 Nxb3 cxb3 Kc8 Rf3 Be4 Re3 Bg6 Bf6 Rd5 d4 Bc2 Rd2 Bg6 g5 Rf5 d5 b6 dxe6 fxe6 Kg3 Rf1 Rde2 Bf5 h4 Ra1 a4 Rh1 Rd2 Rh3+ Kf2 Rxh4 a5 Rxb4 axb6 axb6 Rc3 Kb7 Be5 Rc8 Rd7 Rb5 Rdxc7+ Rxc7 Bxc7 Rc5 Rxc5 bxc5 Ke3 Bc2 Be5 Bxb3 g6 Bc2 g7 Bh7 Kd2 Kc6 Kc3 Kd5 Bf6 e5 Bg5 Bg8 Bf6 e4 Kd2 Ke6 Bc3 Kd5 Ke3 Bh7 Bf6 Bg8 Bc3 c4 Bb4 Bh7 Bc3 Kc5 Ke2 Kb5 Ke3 Ka4 Kd4 Kb3 Bd2 Kc2 Bc3 e3 Kxc4 e2 Kd4 Kd1 Ke5 Bg8 Kf6 Ba2 Ke7 e1=Q+ Bxe1 Kxe1 Kf8 Kf2 g8=Q Bxg8
white,b3 d5 Bb2 Nf6 e3 e6 d4 c5 c4 dxc4 Bxc4 cxd4 exd4 Be7 Nf3 O-O O-O a6 a4 b6 Nc3 Bb7 Qe2 Nd5 Nxd5 Bxd5 Rac1 Nc6 Bxa6 Bxf3 Qxf3 Rxa6 Qxc6 Ra5 Qf3 Rd5 Rc6 Bf6 Rfc1 Bxd4 Bxd4 Rxd4 Rc8 Qxc8 Rxc8 Rxc8 h3 h6 Qb7 Rc1+ Kh2 Rb4 a5 Rxb3 a6 Ra1 Qc8+ Kh7 Qc2+ g6 Qxb3 Rxa6 Qb5 Ra5 Qxb6 Rf5 f3 h5 Qb7 Kg7 g4 hxg4 hxg4 Rd5 Kg3 g5 Qe7 Rb5 Qd6 Rd5 Qb4 Kg6 Qc3 Kh7 Qf6 Kg8 Qh6 Rb5 Kf2 Rd5 Ke3 Rb5 f4 gxf4+ Kxf4 Rd5 Kg3 Rd3+ Kh4 Rd5 Qf6 Kf8 g5 Rf5 Qd8+ Kg7 Kh5 Rf4 Qd3 Rf5 Qd4+ Kf8 Qd7 Kg7 Qd4+ Kg8 Kh6 Rd5 Qg7#
black,d4 Nf6 c4 e5 dxe5 Ng4 Nf3 Nc6 e3 Ngxe5 Be2 Bb4+ Bd2 Bxd2+ Nbxd2 O-O O-O d6 Qc2 Qf6 a3 Bf5 e4 Bg6 b4 Nxf3+ Nxf3 Rfe8 Bd3 Nd4 Nxd4 Qxd4 Rad1 Bxe4 Bxe4 Qxe4 Qc3 Qf5 Rd3 f6 Rf3 Qe5 Qc2 Qe4 Qb3 Qe6 Re3 Qf7 Rfe1 Rxe3 Rxe3 Re8 Rxe8+ Qxe8 c5+ Kf8 Qc3 Qe5 Qd2 Qa1+
black,b3 b6 Bb2 Bb7 Nc3 Nf6 Nf3 c5 d3 d5 e3 Nc6 d4 e6 g3 Be7 Bg2 O-O O-O Rc8 Ne2 b5 c4 bxc4 bxc4 dxc4 Qd2 Ne4 Qd1 Nb4 Ne1 f5 f3 Nf6 a3 Nbd5 Qd2 Ba6 e4 c3 Bxc3 Nxc3 Qxc3 Bxe2
white,e4 c5 Nc3 e6 d3 d5 exd5 exd5 d4 Nc6 Be3 Nf6 Bb5 cxd4 Bxd4 Be7 Nge2 O-O O-O a6 Bd3 Nxd4 Nxd4 Bg4 Qd2 Re8 Rfe1 Qd7 Qf4 Bd6 Qg5 h6 Qd2 Qc7 h3 Bh5 Nf5 Bf4 Ne3 d4 Ncd5 Bxe3 Nxc7 Bxd2 Rxe8+ Rxe8 Nxe8 Nxe8 g4 Bg6 Bxg6 fxg6 Rd1 Bf4 Rxd4 g5 Rd8 Kf7 Rd7+ Ke6 Rxb7 Nd6 Rxg7 Nc4 b3
black,c4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d6 Nc3 e5 d3 c6 Rb1 h6 b4 Be6 b5 Qc7 h3 Nbd7 Be3 Rad8 bxc6 bxc6 Qd2 Kh7 Rb4 d5 cxd5 cxd5 Na4 d4 Nxd4 exd4 Bxd4 Nd5 Rc1 Qa5 Bxg7 Kxg7 Qb2+ N7f6 Rc5 Qxb4
black,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Bd3 Qxd4 Nf3 Qb6 Be3 Qxb2 Bd4 Qa3 Bc5 Qa5+ Ned2 Qxc5
black,e4 e5 Nf3 Nc6 Nc3 Nf6 Nxe5 Nxe5 d4 Nc6 d5 Bb4 dxc6 Nxe4 Qd4 Qe7 Be3 O-O cxd7 Bxd7 Bd3 Bc6 a3 Bxc3+ bxc3 Rad8 Qb4 Qe5 O-O-O a5 Qc4 Qxc3 Qxc3 Nxc3 Rde1 Bxg2 Rhg1 Bf3 Bh6 g6 Bxf8 Kxf8 Re3 Bc6 h4 Nd5 Re5 f6 Re4 Kf7 Rge1 Kg7 c4 Nb6 Re7+ Kf8 Kc2 Rd7 Re8+ Kf7 h5 Ba4+ Kb2 gxh5 R8e3 Bc6 Kc2 Kg7 Re7+ Kh6 Rxd7 Bxd7 Re7 h4 c5 Ba4+ Kd2 Nd5 Re4 Bc6 Rxh4+ Kg5 Rxh7 Kf4 Rxc7 Nxc7
black,e4 c5 d4 cxd4 c3 Nf6 e5 Nd5 cxd4 d6 exd6 Qxd6 Nc3 Nc6 Bb5 a6 Ba4 Bf5 Nf3 Qe6+ Qe2 Qxe2+ Kxe2 Nxc3+ bxc3 b5 Bb3 e6 d5 Na5 dxe6 Bxe6 Bxe6 fxe6 Bf4 Nc4 Rhe1 Bc5 Ng5 e5 Bg3 Ba7 f4 Be3 Kf3 Bd2 Re2 O-O Ne6 Rf6 Nc7 Rd8 Rd1 Rd7 Ke4 exf4 Rexd2 Nxd2+
black,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Nd5 Be7 Bxf6 Bxf6 c4 Nd4 cxb5 O-O Bd3 axb5 O-O Bd7 Rc1 Bh4 g3 Bg5 f4 exf4 gxf4 Bh3 Rf2 Bh4 Rd2 Be1 Re2 Bg4 Ne3 Qb6 Kh1 Bf3+ Ng2 Nxe2 Bxe2 Qf2
black,d4 Nf6 Nf3 d5 g3 Bf5 Bg2 e6 O-O Be7 c4 c6 Nc3 O-O Qb3 Qb6 c5 Qxb3 axb3 Nbd7 b4 a6 Bf4 Rfe8 Nd2 Bd8 Nb3 Bc2 Na5 Bxa5 Rxa5 e5 dxe5 Nxe5 Bxe5 Rxe5 b5 d4 bxc6 bxc6 Na2 Rxe2 Bxc6 Rb8 Bf3 Rd2 c6 Bd3 c7 Rc8 Rc1 Rxb2 Rd1 Rb1 Rxb1 Bxb1 Rxa6 Ne8 Nb4 Rxc7 Nd5 Rc1+
white,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 e4 g6 f4 Bg7 Bb5+ Bd7 e5 Bxb5 exf6 Bxf6 Nxb5 Qa5+ Nc3 O-O Ne2 Re8 O-O Nd7 f5 Bg7 Bg5 h6 fxg6 fxg6 Bf4 Ne5 Qc2 g5 Bxe5 Rxe5 Qg6 Rae8 Rf7
black,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 b5 Be3 Bb7 f3 Qc7 Qd2 Nf6 O-O-O Bb4 Kb1 O-O g4 Bxc3 bxc3 Rc8 g5 Nh5 f4 Bxe4 Rg1 Nc6 Be2 Nxd4 Bxd4 Nxf4 h4 e5 Be3 Nxe2 Qxe2 Qxc3 Rc1 Rc4 a3 Qb3+ Ka1 Qxa3+ Kb1 Rb4#
black,d4 e6 Bf4 c5 e3 Nf6 Nf3 Nc6 Nbd2 Be7 c3 Nh5 Bg3 O-O Bd3 f5 Ne5 Nxg3 hxg3 cxd4 exd4 Nxe5 dxe5 d6 Nc4 d5 Ne3 Bc5 Qh5 h6 Qg6 Bxe3 fxe3 Qb6 Rxh6 Qxe3+ Be2 Qxh6
white,d4 Nf6 c4 e6 Nc3 d5 Nf3 Bb4 Bg5 Nbd7 cxd5 exd5 e3 h6 Bh4 O-O Bd3 b6 O-O Bb7 Ne5 Bxc3 bxc3 Qe8 Nxd7 Nxd7 Qg4 Qe6 Bf5
white,e4 e5 Nf3 Nf6 d3 d5 exd5 Qxd5 Nc3 Bb4 Bd2 Bxc3 Bxc3 Nc6 Be2 Bg4 O-O O-O-O Nxe5 Bxe2 Qxe2 Rhe8 f4 Nd7 Qg4 Nxe5 fxe5 Kb8 Rae1 Re6 Qh4 Rde8 Rxf7 Nxe5 Rxg7 Ng6 Rxe6 Qxe6 Qe4 Qc8 Qc4 c6 Rxh7 Qg4 Qxg4
white,d4 d5 c4 e6 Nf3 Nf6 Nc3 a6 Bg5 Be7 e3 h6 Bxf6 Bxf6 cxd5 exd5 Qb3 c6 Bd3 O-O O-O Re8 Qc2 Bg4 Rac1 Bxf3 gxf3 Bh4 Bh7+ Kh8 Bf5 Nd7 f4 Nf6 Qb3 Qc7 Nxd5 Qd6 Nb6 g6 Bd3 Rad8 Qxf7 Ng4 Nc4 Qe6 Qxb7 Rd5 Qxa6 Rh5 Be2 Nxe3 fxe3 Qh3 Bxh5 gxh5 Qxc6 Rg8+ Kh1 Bg3 Qxh6#
white,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nd7 Bc4 Ngf6 Nxf6+ Nxf6 c3 Bg4 Qb3 e6 Qxb7 Qc8 Ba6
black,e4 c5 d4 cxd4 c3 Nf6 e5 Nd5 cxd4 d6 Nf3 Nc6 Bb5 Qa5+ Nc3 Nxc3 Bxc6+ bxc6 bxc3 Qxc3+ Bd2 Qd3 exd6 exd6 Qa4 Qa6 Qc2 Be7 Rc1 Bd7 Ng5 Bxg5 Bxg5 O-O Qb3 Rae8+ Be3 d5 h4 Bf5 h5 Re7 h6 g5 f3 Rfe8 Kf2 Rxe3
white,d4 Nf6 c4 e6 Nc3 Bb4 Nf3 O-O Qd3 d5 Bg5 h6 Bxf6 Qxf6 O-O-O Rd8 Kb1 dxc4 Qxc4 Bxc3 Qxc3 c5 Qxc5 Nc6 e4 Bd7 Bd3 Rac8 e5 Qf4 Rhe1 Qg4 Rg1 b6 Qa3 a5 h3 Qh5 g4 Qxh3 Bf1
white,e4 c5 Nf3 Nc6 Nc3 g6 d4 cxd4 Nxd4 Bg7 Be3 e6 Bc4 Nge7 O-O O-O Qd2 f5 f3 f4 Bf2 Kh8 Nxc6 Nxc6 Rfd1 a6 Bc5 Rf7 Bxe6 Rf6 Bxd7 Bxd7 Qxd7 Qxd7 Rxd7 b5 Nd5 Rd8 Rxd8+ Nxd8 Nxf6 Bxf6 Rd1 Kg7 e5 Bg5 Rd7+ Kh6 Bf8+ Kh5 Rxh7+ Bh6 h4 Ne6 Rxh6#
black,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 b5 a3 Bb7 Bd3 Qb6 Be3 Bc5 Be2 Nc6 Nf3 Bxe3 fxe3 Qxe3 Qd6 Nf6 Rd1 Rd8 h3 Nxe4 Nxe4 Qxe4 Rd2 Ne7 O-O Nf5 Qe5 Qxe5 Nxe5 d6 g4 dxe5 Rxd8+ Kxd8 gxf5 exf5 Rxf5 f6 c4 bxc4 Bxc4 Ke7 b3 Rb8 Rh5 Rh8 Rh4 f5 Kf2 Kf6 Be2 a5 Rc4 Bd5 Rc5 Bxb3 Rxa5 Rc8 h4 Rc2 Ra6+ Ke7 Ke3 Rxe2+
white,d4 e6 c4 f5 g3 Nf6 Bg2 Be7 Nf3 O-O O-O d6 Nc3 Qe8 b3 Nbd7 Bb2 Qh5 Qc2 g5 Nb5 Bd8 d5 e5 Qxf5 h6 h4 Nc5 Qc2 Nfe4 Nxe5 Nxg3 fxg3 Rxf1+ Rxf1 dxe5 Ba3 Nd7 Qf5 Nf6 Qxe5 Bd7 Nxc7 Bxc7 Qxc7 Qg6 Be7 Bf5 Qe5
black,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 b5 a3 Bb7 Be2 d6 O-O Nf6 Bd3 Nbd7 Re1 Be7 Bg5 O-O Nf3 Ng4 Bf4 Bf6 Bxd6 Nxf2 Kxf2 Qb6+ Re3 Qxd6 e5 Qc5 exf6 Nxf6 h3 e5 b4 Qb6 Nxe5 Rae8 Ke2 Qc7 Qf1 Rxe5 Rxe5 Qxe5+ Kd2 Rc8 Ne2 Nd5 Rb1 Qg5+ Ke1 Ne3 Qf2 Nxg2+ Kd1 Ne3+ Ke1 Re8 Rb3 Bd5 Rc3 Nc4 Qf5 Rxe2+ Kxe2 Qe3+ Kf1 Nd2#
white,e4 g6 d4 d6 Nc3 Bg7 f4 Nf6 Nf3 O-O Bd3 Nbd7 e5 dxe5 fxe5 Ne8 O-O c5 Be2 cxd4 Qxd4 Qb6 Qxb6 Nxb6 Bg5 f6 exf6 exf6 Bf4 Nd7 Rad1 Nc5 Nd4 a6 Bc4+ Kh8 b4 b5 Bd5 Nb7 a4 Ned6 Bxd6 Nxd6 Bxa8 bxa4 Nxa4 Nb5 c4 Nxd4 Rxd4 f5 Rd3 f4 Nc5 Bf5 Be4 Bg4 Rc1 Be2 Rd2 Bg4 Nxa6 f3 Rcc2 fxg2 Nc5 Bh6 Rd3 Rf5
white,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Bc4 d6 O-O Qg6 Nxc6 Nxc6 Bxc5 dxc5 Qf3 Ne5 Bb5+ c6 Qf4 f6 Be2 Bh3 Qg3 Qxg3 hxg3 Be6 f4 Nc4 Bxc4 Bxc4 Rd1 Ke7 Nd2 Be6 Kf2 a5 Nf3 Rad8 Rxd8 Rxd8 Rh1 h6 a3 b5 Ke3 Bc4 Rh5 Rd3+ Kf2 Kd6 Rh1 b4 e5+ fxe5 Nxe5 Rd2+ Ke3 Re2+ Kf3 Rxe5 fxe5+ Kxe5 Re1+ Kf5 g4+ Kf6 Kf4 g5+ Ke3 Be6 Rf1+ Kg6 Rd1 Bd5 g3 Kf6 Rf1+
white,d4 Nf6 c4 g6 Nc3 Bg7 Nf3 d6 h3 Nbd7 Bf4 O-O e3 c6 Be2 Re8 O-O e5 dxe5 dxe5 Nxe5 Nh5 Bxh5 Nxe5 Be2 Be6 Qb3 Qb6 Rfc1 Rad8 Ne4 f5 Nc3 Nd3 Bxd3 Rxd3 Qc2 Red8 Bg5 Rd2 Bxd8 Qxd8 Rd1 Rxd1+ Rxd1 Qb6 b3 Qb4 Ne2 a5 Nf4 Bf7 Rd8+ Bf8 Rd7 g5 Qxf5
black,e4 c5 c3 d5 exd5 Qxd5 d4 g6 Bb5+ Bd7 Bxd7+ Nxd7 Nf3 cxd4 cxd4 Qe6+ Be3 Bh6 d5 Qa6 Nc3 Bg7 Bd4 Ngf6 Qe2 Qxe2+ Kxe2 O-O Rhe1 Rfe8 Kf1 Rac8 Bxa7 b6 Na4 Ra8 Bxb6 Rxa4 Bc7
black,c4 Nf6 Nc3 e5 g3 d5 cxd5 Nxd5 Bg2 Nb6 Nf3 Nc6 e3 Bd6 d4 O-O O-O Bg4 Qd3 Be6 b3 Be7 Rd1 exd4 Nxd4 Nxd4 Qxd4 Qxd4 exd4 c6 Bb2 Rfd8 Rd3 Rd7 Rad1 Rad8 a4 Bxb3 R1d2 Bb4 Re2 Bc4 Rde3 Bxe2 Nxe2 Nxa4
black,e4 c5 Nf3 Nc6 Nc3 e6 d3 d5 exd5 exd5 Be2 Nf6 d4 Bd6 Bg5 Be6 Bb5 O-O Bxc6 bxc6 Ne5 Qb6 Bxf6 gxf6 Nd3 c4 Nc5 Bxc5 dxc5 Qxb2 Ne2 Bf5 O-O Bxc2 Qd2 Rab8 Ng3 Bg6 Qf4 Qe5 Qe3 Rfe8 Qa3 Bd3 Rfd1 Rb2 Rxd3 cxd3 Qxd3 Rxf2 Kxf2 Qxa1 Qd2 Qe5 a4 Rb8 Qd1 Rb2+ Kg1 Qf4 Qe1 Kf8 Nh5 Qd4+ Kf1 Qd3+
black,e4 Nf6 Nc3 e5 Nf3 Nc6 Bb5 Nd4 Ba4 Nxf3+ Qxf3 c6 O-O d6 d3 Be7 Ne2 O-O Ng3 Bg4 Qe3 Be6 Qf3 Qd7 c3 d5 Bc2 Bg4 Qe3 Rfd8 h3 Be6 Qe1 dxe4 dxe4 Bc4 Ne2 Bd3 Bxd3 Qxd3 Ng3 Bc5 Kh1 h6 f3 Qc2 Qe2 Qd3 c4 Rac8 b3 Qxe2 Nxe2 a5 Ng3 Bd4 Rb1 Rc7 Nf5 b6 Bb2 Bxb2 Rxb2 Rcd7 Kg1 Kf8 Re2 Nh5 g3 g6 g4 Nf4
black,Nf3 d5 c4 c6 d4 e6 g3 Bd6 Bg2 Nd7 Qc2 f5 O-O Ngf6 b3 Qe7 Bb2 O-O Ne5 Ne4 e3 Nxe5 dxe5 Bc5 Nc3 a5 Ne2 Bd7 Nf4 b5 Nd3 Ba7 Rac1 bxc4 bxc4 Rfb8 cxd5 cxd5 Bd4 Bb5 Rfd1 Bxd4 exd4 Bxd3 Rxd3 Qd7 Qc6 Qxc6 Rxc6 Rb1+ Bf1 Rab8 f3 Ng5 h4 Nh3+ Kg2 R8b2+ Kxh3 Rxf1 g4 f4 g5 Rg1
